Algeria,1952,9279525,Africa,43.077,2449.008185
Algeria,1957,10270856,Africa,45.685,3013.976023
Algeria,1962,11000948,Africa,48.303,2550.81688
Algeria,1967,12760499,Africa,51.407,3246.991771
Algeria,1972,14760787,Africa,54.518,4182.663766
Algeria,1977,17152804,Africa,58.014,4910.416756
Algeria,1982,20033753,Africa,61.368,5745.160213
Algeria,1987,23254956,Africa,65.799,5681.358539
Algeria,1992,26298373,Africa,67.744,5023.216647
Algeria,1997,29072015,Africa,69.152,4797.295051
Algeria,2002,31287142,Africa,70.994,5288.040382
Algeria,2007,33333216,Africa,72.301,6223.367465
Angola,1952,4232095,Africa,30.015,3520.610273
Angola,1957,4561361,Africa,31.999,3827.940465
Angola,1962,4826015,Africa,34,4269.276742
Angola,1967,5247469,Africa,35.985,5522.776375
Angola,1972,5894858,Africa,37.928,5473.288005
Angola,1977,6162675,Africa,39.483,3008.647355
Angola,1982,7016384,Africa,39.942,2756.953672
Angola,1987,7874230,Africa,39.906,2430.208311
Angola,1992,8735988,Africa,40.647,2627.845685
Angola,1997,9875024,Africa,40.963,2277.140884
Angola,2002,10866106,Africa,41.003,2773.287312
Angola,2007,12420476,Africa,42.731,4797.231267
Benin,1952,1738315,Africa,38.223,1062.7522
Benin,1957,1925173,Africa,40.358,959.6010805
Benin,1962,2151895,Africa,42.618,949.4990641
Benin,1967,2427334,Africa,44.885,1035.831411
Benin,1972,2761407,Africa,47.014,1085.796879
Benin,1977,3168267,Africa,49.19,1029.161251
Benin,1982,3641603,Africa,50.904,1277.897616
Benin,1987,4243788,Africa,52.337,1225.85601
Benin,1992,4981671,Africa,53.919,1191.207681
Benin,1997,6066080,Africa,54.777,1232.975292
Benin,2002,7026113,Africa,54.406,1372.877931
Benin,2007,8078314,Africa,56.728,1441.284873
Botswana,1952,442308,Africa,47.622,851.2411407
Botswana,1957,474639,Africa,49.618,918.2325349
Botswana,1962,512764,Africa,51.52,983.6539764
Botswana,1967,553541,Africa,53.298,1214.709294
Botswana,1972,619351,Africa,56.024,2263.611114
Botswana,1977,781472,Africa,59.319,3214.857818
Botswana,1982,970347,Africa,61.484,4551.14215
Botswana,1987,1151184,Africa,63.622,6205.88385
Botswana,1992,1342614,Africa,62.745,7954.111645
Botswana,1997,1536536,Africa,52.556,8647.142313
Botswana,2002,1630347,Africa,46.634,11003.60508
Botswana,2007,1639131,Africa,50.728,12569.85177
Burkina Faso,1952,4469979,Africa,31.975,543.2552413
Burkina Faso,1957,4713416,Africa,34.906,617.1834648
Burkina Faso,1962,4919632,Africa,37.814,722.5120206
Burkina Faso,1967,5127935,Africa,40.697,794.8265597
Burkina Faso,1972,5433886,Africa,43.591,854.7359763
Burkina Faso,1977,5889574,Africa,46.137,743.3870368
Burkina Faso,1982,6634596,Africa,48.122,807.1985855
Burkina Faso,1987,7586551,Africa,49.557,912.0631417
Burkina Faso,1992,8878303,Africa,50.26,931.7527731
Burkina Faso,1997,10352843,Africa,50.324,946.2949618
Burkina Faso,2002,12251209,Africa,50.65,1037.645221
Burkina Faso,2007,14326203,Africa,52.295,1217.032994
Burundi,1952,2445618,Africa,39.031,339.2964587
Burundi,1957,2667518,Africa,40.533,379.5646281
Burundi,1962,2961915,Africa,42.045,355.2032273
Burundi,1967,3330989,Africa,43.548,412.9775136
Burundi,1972,3529983,Africa,44.057,464.0995039
Burundi,1977,3834415,Africa,45.91,556.1032651
Burundi,1982,4580410,Africa,47.471,559.603231
Burundi,1987,5126023,Africa,48.211,621.8188189
Burundi,1992,5809236,Africa,44.736,631.6998778
Burundi,1997,6121610,Africa,45.326,463.1151478
Burundi,2002,7021078,Africa,47.36,446.4035126
Burundi,2007,8390505,Africa,49.58,430.0706916
Cameroon,1952,5009067,Africa,38.523,1172.667655
Cameroon,1957,5359923,Africa,40.428,1313.048099
Cameroon,1962,5793633,Africa,42.643,1399.607441
Cameroon,1967,6335506,Africa,44.799,1508.453148
Cameroon,1972,7021028,Africa,47.049,1684.146528
Cameroon,1977,7959865,Africa,49.355,1783.432873
Cameroon,1982,9250831,Africa,52.961,2367.983282
Cameroon,1987,10780667,Africa,54.985,2602.664206
Cameroon,1992,12467171,Africa,54.314,1793.163278
Cameroon,1997,14195809,Africa,52.199,1694.337469
Cameroon,2002,15929988,Africa,49.856,1934.011449
Cameroon,2007,17696293,Africa,50.43,2042.09524
Central African Republic,1952,1291695,Africa,35.463,1071.310713
Central African Republic,1957,1392284,Africa,37.464,1190.844328
Central African Republic,1962,1523478,Africa,39.475,1193.068753
Central African Republic,1967,1733638,Africa,41.478,1136.056615
Central African Republic,1972,1927260,Africa,43.457,1070.013275
Central African Republic,1977,2167533,Africa,46.775,1109.374338
Central African Republic,1982,2476971,Africa,48.295,956.7529907
Central African Republic,1987,2840009,Africa,50.485,844.8763504
Central African Republic,1992,3265124,Africa,49.396,747.9055252
Central African Republic,1997,3696513,Africa,46.066,740.5063317
Central African Republic,2002,4048013,Africa,43.308,738.6906068
Central African Republic,2007,4369038,Africa,44.741,706.016537
Chad,1952,2682462,Africa,38.092,1178.665927
Chad,1957,2894855,Africa,39.881,1308.495577
Chad,1962,3150417,Africa,41.716,1389.817618
Chad,1967,3495967,Africa,43.601,1196.810565
Chad,1972,3899068,Africa,45.569,1104.103987
Chad,1977,4388260,Africa,47.383,1133.98495
Chad,1982,4875118,Africa,49.517,797.9081006
Chad,1987,5498955,Africa,51.051,952.386129
Chad,1992,6429417,Africa,51.724,1058.0643
Chad,1997,7562011,Africa,51.573,1004.961353
Chad,2002,8835739,Africa,50.525,1156.18186
Chad,2007,10238807,Africa,50.651,1704.063724
Comoros,1952,153936,Africa,40.715,1102.990936
Comoros,1957,170928,Africa,42.46,1211.148548
Comoros,1962,191689,Africa,44.467,1406.648278
Comoros,1967,217378,Africa,46.472,1876.029643
Comoros,1972,250027,Africa,48.944,1937.577675
Comoros,1977,304739,Africa,50.939,1172.603047
Comoros,1982,348643,Africa,52.933,1267.100083
Comoros,1987,395114,Africa,54.926,1315.980812
Comoros,1992,454429,Africa,57.939,1246.90737
Comoros,1997,527982,Africa,60.66,1173.618235
Comoros,2002,614382,Africa,62.974,1075.811558
Comoros,2007,710960,Africa,65.152,986.1478792
Congo Dem. Rep.,1952,14100005,Africa,39.143,780.5423257
Congo Dem. Rep.,1957,15577932,Africa,40.652,905.8602303
